p,T,viscosity,x1,density
40000000,333.15,0.001,0.2,739.76
50000000,333.15,0.00109,0.2,745.62
60000000,333.15,0.00118,0.2,751.99
70000000,333.15,0.00128,0.2,757.29
80000000,333.15,0.00139,0.2,761.86
90000000,333.15,0.00149,0.2,766.39
100000000,333.15,0.0016,0.2,771.2
10000000,353.15,0.0006,0.2,703
20000000,353.15,0.00066,0.2,711.58
30000000,353.15,0.00073,0.2,719.49
40000000,353.15,0.0008,0.2,726.83
50000000,353.15,0.00087,0.2,733.14
60000000,353.15,0.00094,0.2,739.42
70000000,353.15,0.00101,0.2,745.14
80000000,353.15,0.00109,0.2,750.38
90000000,353.15,0.00117,0.2,755.5
100000000,353.15,0.00125,0.2,760.17
100000,293.15,0.00089,0.4,725.16
10000000,293.15,0.00097,0.4,732.77
20000000,293.15,0.00107,0.4,739.41
30000000,293.15,0.00118,0.4,745.62
40000000,293.15,0.00131,0.4,751.35
50000000,293.15,0.00144,0.4,756.7
60000000,293.15,0.00157,0.4,761.6
70000000,293.15,0.00173,0.4,766.27
80000000,293.15,0.00189,0.4,770.82
90000000,293.15,0.00206,0.4,775.07
100000000,293.15,0.00225,0.4,779.13
100000,313.15,0.00069,0.4,710.25
10000000,313.15,0.00073,0.4,718.25
20000000,313.15,0.00081,0.4,725.79
30000000,313.15,0.0009,0.4,732.5
40000000,313.15,0.00099,0.4,738.92
50000000,313.15,0.00109,0.4,744.55
60000000,313.15,0.00119,0.4,750.07
70000000,313.15,0.00129,0.4,755.26
80000000,313.15,0.00141,0.4,760.15
90000000,313.15,0.00152,0.4,764.79
100000000,313.15,0.00165,0.4,769.14
100000,333.15,0.00055,0.4,694.27
10000000,333.15,0.00057,0.4,703.82
20000000,333.15,0.00064,0.4,712.39
30000000,333.15,0.00071,0.4,719.79
40000000,333.15,0.00078,0.4,726.57
50000000,333.15,0.00085,0.4,732.9
60000000,333.15,0.00093,0.4,739.33
70000000,333.15,0.00101,0.4,744.98
80000000,333.15,0.00109,0.4,749.74
90000000,333.15,0.00117,0.4,754.39
100000000,333.15,0.00126,0.4,759.05
10000000,353.15,0.00049,0.4,688.81
20000000,353.15,0.00054,0.4,698.26
30000000,353.15,0.00059,0.4,706.71
40000000,353.15,0.00064,0.4,714.14
50000000,353.15,0.0007,0.4,721.12
60000000,353.15,0.00076,0.4,727.09
70000000,353.15,0.00082,0.4,733.02
80000000,353.15,0.00089,0.4,738.76
90000000,353.15,0.00096,0.4,743.78
100000000,353.15,0.00103,0.4,748.79
100000,293.15,0.00067,0.6,710.23
10000000,293.15,0.00071,0.6,718.3
20000000,293.15,0.00078,0.6,725.53
30000000,293.15,0.00086,0.6,731.83
40000000,293.15,0.00094,0.6,737.82
50000000,293.15,0.00103,0.6,743.49
60000000,293.15,0.00112,0.6,748.64
70000000,293.15,0.00122,0.6,753.5
80000000,293.15,0.00133,0.6,758.27
90000000,293.15,0.00144,0.6,762.67
100000000,293.15,0.00156,0.6,766.86
100000,313.15,0.00053,0.6,694.56
10000000,313.15,0.00055,0.6,703.17
20000000,313.15,0.00061,0.6,711.12
30000000,313.15,0.00068,0.6,718.44
40000000,313.15,0.00074,0.6,724.97
50000000,313.15,0.00081,0.6,731.41
60000000,313.15,0.00088,0.6,737.13
70000000,313.15,0.00096,0.6,742.34
80000000,313.15,0.00104,0.6,747.25
90000000,313.15,0.00112,0.6,752.1
100000000,313.15,0.00121,0.6,756.52
100000,333.15,0.00043,0.6,678.02
10000000,333.15,0.00046,0.6,688.47
20000000,333.15,0.00051,0.6,697.36
30000000,333.15,0.00056,0.6,705.49
40000000,333.15,0.00062,0.6,712.73
50000000,333.15,0.00067,0.6,719.32
60000000,333.15,0.00073,0.6,725.73
70000000,333.15,0.00079,0.6,731.43
80000000,333.15,0.00084,0.6,736.69
90000000,333.15,0.0009,0.6,741.55
100000000,333.15,0.00097,0.6,746.51
10000000,353.15,0.00038,0.6,672.89
20000000,353.15,0.00042,0.6,682.92
30000000,353.15,0.00046,0.6,692.01
40000000,353.15,0.00051,0.6,700.01
50000000,353.15,0.00055,0.6,707.22
60000000,353.15,0.0006,0.6,713.63
70000000,353.15,0.00065,0.6,719.65
80000000,353.15,0.0007,0.6,725.54
90000000,353.15,0.00075,0.6,731.03
100000000,353.15,0.0008,0.6,736.15
100000,293.15,0.00047,0.8,688.66
10000000,293.15,0.00052,0.8,697.56
20000000,293.15,0.00057,0.8,705.26
30000000,293.15,0.00062,0.8,712.25
40000000,293.15,0.00068,0.8,718.56
50000000,293.15,0.00074,0.8,724.54
60000000,293.15,0.0008,0.8,729.91
70000000,293.15,0.00086,0.8,735.83
80000000,293.15,0.00092,0.8,740.04
90000000,293.15,0.00099,0.8,744.57
100000000,293.15,0.00106,0.8,749.05
100000,313.15,0.00038,0.8,672.27
10000000,313.15,0.00041,0.8,681.9
20000000,313.15,0.00045,0.8,690.46
30000000,313.15,0.00049,0.8,698.29
40000000,313.15,0.00054,0.8,705.21
50000000,313.15,0.00058,0.8,711.6
60000000,313.15,0.00063,0.8,717.71
70000000,313.15,0.00067,0.8,723.71
80000000,313.15,0.00072,0.8,728.68
90000000,313.15,0.00077,0.8,733.63
100000000,313.15,0.00082,0.8,738.45
100000,333.15,0.00022,0.8,622.26
10000000,333.15,0.00024,0.8,635.67
20000000,333.15,0.00027,0.8,646.99
30000000,333.15,0.00029,0.8,656.56
40000000,333.15,0.00032,0.8,665.11
50000000,333.15,0.00034,0.8,672.75
60000000,333.15,0.00037,0.8,680.08
70000000,333.15,0.00039,0.8,686.55
80000000,333.15,0.00042,0.8,692.15
90000000,333.15,0.00044,0.8,697.76
100000000,333.15,0.00046,0.8,703.17
10000000,353.15,0.00029,0.8,649.18
20000000,353.15,0.00032,0.8,660.11
30000000,353.15,0.00035,0.8,669.85
40000000,353.15,0.00038,0.8,678.47
50000000,353.15,0.00042,0.8,685.96
60000000,353.15,0.00045,0.8,693.14
70000000,353.15,0.00048,0.8,699.76
80000000,353.15,0.00052,0.8,705.62
90000000,353.15,0.00055,0.8,711.42
100000000,353.15,0.00058,0.8,716.62
