p,T,viscosity,x1
24626000,343.15,0.0003217,0.5066
4995000,358.15,0.0002381,0.5066
9913000,358.15,0.0002495,0.5066
14815000,358.15,0.0002649,0.5066
21696000,358.15,0.0002792,0.5066
24626000,358.15,0.0002922,0.5066
4995000,373.15,0.0002117,0.5066
9913000,373.15,0.0002257,0.5066
14815000,373.15,0.0002392,0.5066
21696000,373.15,0.0002491,0.5066
24626000,373.15,0.0002606,0.5066
101000,297.95,0.0003847,0.4015
4995000,297.95,0.0004086,0.4015
9913000,297.95,0.00043,0.4015
14815000,297.95,0.0004471,0.4015
21696000,297.95,0.0004687,0.4015
24626000,297.95,0.0004899,0.4015
101000,313.05,0.0003504,0.4015
4995000,313.05,0.0003659,0.4015
9913000,313.05,0.0003885,0.4015
14815000,313.05,0.0004065,0.4015
21696000,313.05,0.0004295,0.4015
24626000,313.05,0.0004465,0.4015
101000,328.05,0.0003047,0.4015
4995000,328.05,0.0003249,0.4015
9913000,328.05,0.0003413,0.4015
14815000,328.05,0.000357,0.4015
21696000,328.05,0.0003741,0.4015
24626000,328.05,0.0003919,0.4015
4995000,343.15,0.0002828,0.4015
9913000,343.15,0.0003,0.4015
14815000,343.15,0.0003154,0.4015
21696000,343.15,0.0003271,0.4015
24626000,343.15,0.0003409,0.4015
4995000,358.15,0.0002514,0.4015
9913000,358.15,0.0002679,0.4015
14815000,358.15,0.000282,0.4015
21696000,358.15,0.0002951,0.4015
24626000,358.15,0.0003095,0.4015
4995000,373.15,0.0002323,0.4015
9913000,373.15,0.0002408,0.4015
14815000,373.15,0.0002585,0.4015
21696000,373.15,0.0002692,0.4015
24626000,373.15,0.0002849,0.4015
101000,297.95,0.0004126,0.3044
4995000,297.95,0.0004379,0.3044
9913000,297.95,0.0004596,0.3044
14815000,297.95,0.0004854,0.3044
21696000,297.95,0.0005051,0.3044
24626000,297.95,0.0005281,0.3044
101000,313.05,0.0003676,0.3044
4995000,313.05,0.0003903,0.3044
9913000,313.05,0.0004091,0.3044
14815000,313.05,0.0004256,0.3044
21696000,313.05,0.0004461,0.3044
24626000,313.05,0.0004693,0.3044
101000,328.05,0.0003255,0.3044
4995000,328.05,0.0003462,0.3044
9913000,328.05,0.0003662,0.3044
14815000,328.05,0.0003806,0.3044
21696000,328.05,0.0003995,0.3044
24626000,328.05,0.0004194,0.3044
101000,343.15,0.0002908,0.3044
4995000,343.15,0.0003104,0.3044
9913000,343.15,0.0003226,0.3044
14815000,343.15,0.0003442,0.3044
21696000,343.15,0.0003559,0.3044
24626000,343.15,0.0003703,0.3044
4995000,358.15,0.0002757,0.3044
9913000,358.15,0.000291,0.3044
14815000,358.15,0.0003028,0.3044
21696000,358.15,0.00032,0.3044
24626000,358.15,0.0003333,0.3044
4995000,373.15,0.000244,0.3044
9913000,373.15,0.0002584,0.3044
14815000,373.15,0.0002728,0.3044
21696000,373.15,0.0002868,0.3044
24626000,373.15,0.0003,0.3044
101000,297.95,0.0004431,0.1992
4995000,297.95,0.0004684,0.1992
9913000,297.95,0.0005042,0.1992
14815000,297.95,0.0005289,0.1992
21696000,297.95,0.000551,0.1992
24626000,297.95,0.0005696,0.1992
101000,313.05,0.0003894,0.1992
4995000,313.05,0.0004102,0.1992
9913000,313.05,0.0004315,0.1992
14815000,313.05,0.0004531,0.1992
21696000,313.05,0.0004695,0.1992
24626000,313.05,0.0004987,0.1992
101000,328.05,0.0003415,0.1992
4995000,328.05,0.0003645,0.1992
9913000,328.05,0.0003838,0.1992
14815000,328.05,0.0003997,0.1992
21696000,328.05,0.0004154,0.1992
24626000,328.05,0.0004353,0.1992
101000,343.15,0.0003004,0.1992
4995000,343.15,0.0003191,0.1992
9913000,343.15,0.0003364,0.1992
14815000,343.15,0.0003556,0.1992
21696000,343.15,0.00037,0.1992
24626000,343.15,0.0003877,0.1992
101000,358.15,0.0002692,0.1992
4995000,358.15,0.0002853,0.1992
9913000,358.15,0.000304,0.1992
14815000,358.15,0.000319,0.1992
21696000,358.15,0.0003332,0.1992
24626000,358.15,0.0003494,0.1992
4995000,373.15,0.0002529,0.1992
9913000,373.15,0.0002678,0.1992
14815000,373.15,0.0002856,0.1992
21696000,373.15,0.0003009,0.1992
24626000,373.15,0.0003106,0.1992
101000,297.95,0.0004645,0.1048
4995000,297.95,0.0004935,0.1048
9913000,297.95,0.0005178,0.1048
14815000,297.95,0.0005406,0.1048
21696000,297.95,0.000572,0.1048
24626000,297.95,0.0005956,0.1048
101000,313.05,0.0003939,0.1048
4995000,313.05,0.0004169,0.1048
