p/pa,T/K,dynamic viscosity/ Pa s
100000,288.15,0.000585
100000,293.15,0.000552
100000,298.15,0.000523
100000,303.15,0.000496
100000,308.15,0.000473
100000,313.15,0.00045
100000,318.15,0.000431
100000,323.15,0.000412
100000,328.15,0.000395
100000,333.15,0.000379
100000,338.15,0.000365
100000,343.15,0.000352
