mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7299,1.2543,0.9156
0.0728,0.1003,0.7268,1.1738,0.8532
0.1492,0.1994,0.7234,1.0992,0.7952
0.2297,0.2975,0.7197,1.0282,0.74
0.3226,0.4034,0.7155,0.9547,0.6831
0.414,0.5008,0.7112,0.8903,0.6332
0.5147,0.601,0.7066,0.826,0.5836
0.6254,0.7033,0.7015,0.7635,0.5355
0.7405,0.8021,0.6962,0.7065,0.4918
0.8549,0.8933,0.691,0.6562,0.4534
1.0,1.0,0.6843,0.6001,0.4107
0.0,0.0,0.0,0.0,0.0
