mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7027,0.7697,0.5409
0.0875,0.0985,0.7013,0.7519,0.5273
0.1851,0.2056,0.6996,0.7331,0.5129
0.2762,0.3031,0.698,0.7164,0.5
0.3644,0.3953,0.6964,0.7003,0.4877
0.4642,0.4969,0.6946,0.6831,0.4744
0.5655,0.5974,0.6927,0.6662,0.4615
0.6701,0.6984,0.6907,0.6492,0.4484
0.7794,0.8011,0.6886,0.632,0.4352
0.8893,0.9016,0.6865,0.6158,0.4227
1.0,1.0,0.6843,0.6001,0.4107
0.0,0.0,0.0,0.0,0.0
