mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7495,1.9743,1.4797
0.0613,0.0999,0.7454,1.7895,1.334
0.1245,0.1947,0.7412,1.6267,1.2058
0.203,0.3022,0.7359,1.4493,1.0666
0.2855,0.4045,0.7304,1.2977,0.9479
0.373,0.5028,0.7246,1.1594,0.8401
0.4598,0.5913,0.7188,1.0432,0.7499
0.5802,0.7015,0.7109,0.9087,0.6461
0.7021,0.8002,0.7031,0.798,0.5611
0.8377,0.8977,0.6944,0.6975,0.4843
1.0,1.0,0.6843,0.6001,0.4107
0.0,0.0,0.0,0.0,0.0
