mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7027,0.7697,0.5409
0.0807,0.1042,0.6995,0.7353,0.5144
0.155,0.1995,0.6965,0.7049,0.4909
0.2408,0.2959,0.6929,0.6731,0.4664
0.3321,0.3973,0.6891,0.641,0.4417
0.425,0.4949,0.6852,0.6114,0.4189
0.5283,0.5975,0.6809,0.5814,0.3959
0.6286,0.6917,0.6767,0.5538,0.3748
0.7441,0.794,0.672,0.5249,0.3527
0.8661,0.8955,0.6668,0.4973,0.3316
1.0,1.0,0.6613,0.4695,0.3105
0.0,0.0,0.0,0.0,0.0
