pressure,temperature,dynamic_viscosity
100000,283.15,0.00137
100000,293.15,0.00115
100000,303.15,0.000977
100000,313.15,0.00083
100000,323.15,0.000736
100000,333.15,0.000647
100000,343.15,0.000575
100000,353.15,0.000514
100000,363.15,0.000464
100000,373.15,0.000422
