pressure,temperature,viscosity
100000,283.15,0.000776
100000,293.15,0.000676
100000,303.15,0.000594
100000,313.15,0.000499
100000,323.15,0.00047
100000,333.15,0.000422
100000,343.15,0.000381
100000,353.15,0.000345
100000,363.15,0.000315
100000,373.15,0.000288
