mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7631,3.0189,2.3037
0.061,0.1013,0.7594,2.6992,2.0497
0.1312,0.2078,0.7551,2.3864,1.8019
0.2074,0.3125,0.7504,2.109,1.5826
0.2735,0.3953,0.7463,1.9012,1.4189
0.3702,0.5052,0.7404,1.6431,1.2165
0.4631,0.5997,0.7347,1.448,1.0638
0.5734,0.7001,0.728,1.2506,0.9105
0.6947,0.798,0.7208,1.0805,0.7788
0.8434,0.9034,0.7119,0.9194,0.6482
1.0,1.0,0.7027,0.7697,0.5409
0.0,0.0,0.0,0.0,0.0
