mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7299,1.2543,0.9156
0.0789,0.0964,0.7278,1.2016,0.8745
0.174,0.2078,0.725,1.1405,0.8269
0.2539,0.2977,0.7229,1.0952,0.7917
0.3541,0.4057,0.7201,1.0414,0.7499
0.44,0.4946,0.7178,0.9967,0.7154
0.5503,0.6038,0.7147,0.9454,0.6757
0.6447,0.6932,0.7121,0.9032,0.6432
0.7598,0.7976,0.709,0.8565,0.6073
0.8814,0.9025,0.7058,0.8115,0.5728
1.0,1.0,0.7027,0.7697,0.5409
0.0,0.0,0.0,0.0,0.0
