pressure,temperature,dynamic_viscosity
100000,283.15,0.000792
100000,293.15,0.000688
100000,303.15,0.000604
100000,313.15,0.000508
100000,323.15,0.000477
100000,333.15,0.000428
100000,343.15,0.000386
100000,353.15,0.00035
100000,363.15,0.000319
