mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7299,1.2543,0.9156
0.0669,0.1059,0.7254,1.1487,0.8332
0.13,0.1979,0.721,1.0616,0.7654
0.2056,0.2994,0.7158,0.9722,0.6959
0.2945,0.4081,0.7096,0.8812,0.6253
0.3744,0.4971,0.7041,0.8095,0.57
0.468,0.5922,0.6977,0.736,0.5135
0.5797,0.6949,0.6899,0.6626,0.4571
0.7035,0.7966,0.6814,0.5938,0.4046
0.8482,0.9022,0.6716,0.5274,0.3542
1.0,1.0,0.6613,0.4695,0.3105
0.0,0.0,0.0,0.0,0.0
