pressure,temperature,dynamic_viscosity
100000,283.15,0.000988
100000,293.15,0.000846
100000,303.15,0.000733
100000,313.15,0.00062
100000,323.15,0.000568
100000,333.15,0.000506
100000,343.15,0.000453
100000,353.15,0.000409
100000,363.15,0.000372
100000,373.15,0.000328
