mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.7725,4.4613,3.4465
0.0917,0.1033,0.7717,4.2891,3.31
0.1776,0.1978,0.7709,4.144,3.1948
0.2739,0.3009,0.77,3.982,3.0663
0.3753,0.4068,0.769,3.8227,2.9396
0.4628,0.4958,0.7681,3.6922,2.8361
0.5624,0.5946,0.7671,3.5555,2.7274
0.6748,0.7031,0.766,3.4067,2.6096
0.7772,0.7993,0.765,3.2766,2.5067
0.8911,0.9033,0.764,3.1442,2.4022
1.0,1.0,0.7631,3.0189,2.3037
0.0,0.0,0.0,0.0,0.0
