mass_fraction,mole_fraction,density_kgL,kinematic_1e6_m2s,absolute_1e3_Pas
0.0,0.0,0.6843,0.6001,0.4107
0.082,0.094,0.6824,0.5871,0.4007
0.1768,0.1998,0.6801,0.5726,0.3895
0.2648,0.2952,0.6781,0.5601,0.3798
0.3594,0.3948,0.6759,0.5469,0.3697
0.4607,0.4983,0.6736,0.5332,0.3592
0.5673,0.6038,0.6711,0.5194,0.3486
0.671,0.7034,0.6688,0.5067,0.3389
0.7656,0.7916,0.6666,0.4954,0.3302
0.8929,0.9065,0.6637,0.4811,0.3193
1.0,1.0,0.6613,0.4695,0.3105
0.0,0.0,0.0,0.0,0.0
