p,T,viscosity,Phase
5000000,548.15,7.48e-5,liquid
5000000,548.15,7.68e-5,liquid
6000000,548.15,8.06e-5,liquid
6000000,548.15,8.26e-5,liquid
8000000,548.15,9.0e-5,liquid
10000000,548.15,9.7e-5,liquid
15000000,548.15,0.0001119,liquid
20000000,548.15,0.0001239,liquid
30000000,548.15,0.0001471,liquid
40000000,548.15,0.0001656,liquid
50000000,548.15,0.0001842,liquid
60000000,548.15,0.0002031,liquid
100000,298.15,0.000888,liquid
4020000,298.15,0.000903,liquid
7580000,298.15,0.000962,liquid
13710000,298.15,0.001037,liquid
20860000,298.15,0.001129,liquid
27700000,298.15,0.001222,liquid
34670000,298.15,0.001309,liquid
6900000,318.15,0.000671,liquid
13790000,318.15,0.000726,liquid
20680000,318.15,0.000785,liquid
27580000,318.15,0.000839,liquid
34470000,318.15,0.000906,liquid
41370000,318.15,0.000974,liquid
48260000,318.15,0.001049,liquid
55160000,318.15,0.001149,liquid
62050000,318.15,0.001216,liquid
100000,323.15,0.000606,liquid
7240000,323.15,0.000667,liquid
14230000,323.15,0.000721,liquid
21100000,323.15,0.000776,liquid
27700000,323.15,0.000835,liquid
39960000,323.15,0.000952,liquid
48190000,323.15,0.001035,liquid
50880000,323.15,0.001061,liquid
52320000,323.15,0.001072,liquid
54270000,323.15,0.001091,liquid
100000,333.15,0.000512,liquid
380000,333.15,0.000538,liquid
6900000,333.15,0.000546,liquid
7310000,333.15,0.000563,liquid
13790000,333.15,0.000595,liquid
14070000,333.15,0.000609,liquid
20630000,333.15,0.000657,liquid
20680000,333.15,0.000642,liquid
27580000,333.15,0.000698,liquid
27830000,333.15,0.000709,liquid
34470000,333.15,0.00075,liquid
34660000,333.15,0.000757,liquid
41370000,333.15,0.000808,liquid
41990000,333.15,0.000815,liquid
48260000,333.15,0.000855,liquid
49010000,333.15,0.000876,liquid
53480000,333.15,0.000904,liquid
54950000,333.15,0.000915,liquid
55160000,333.15,0.000916,liquid
62050000,333.15,0.000951,liquid
6900000,348.15,0.000458,liquid
13790000,348.15,0.000495,liquid
20680000,348.15,0.000536,liquid
27580000,348.15,0.000579,liquid
34470000,348.15,0.000624,liquid
41370000,348.15,0.00067,liquid
48260000,348.15,0.000717,liquid
55160000,348.15,0.000769,liquid
62050000,348.15,0.000814,liquid
6900000,363.15,0.000386,liquid
13790000,363.15,0.00042,liquid
20680000,363.15,0.000455,liquid
27580000,363.15,0.000493,liquid
34470000,363.15,0.00053,liquid
41370000,363.15,0.000568,liquid
48260000,363.15,0.000618,liquid
55160000,363.15,0.000658,liquid
62050000,363.15,0.000699,liquid
6900000,388.15,0.000301,liquid
13790000,388.15,0.000328,liquid
20680000,388.15,0.000356,liquid
27580000,388.15,0.000384,liquid
34470000,388.15,0.000412,liquid
41370000,388.15,0.000441,liquid
48260000,388.15,0.000469,liquid
55160000,388.15,0.000498,liquid
62050000,388.15,0.000528,liquid
6900000,413.15,0.000245,liquid
13790000,413.15,0.000273,liquid
20680000,413.15,0.000293,liquid
27580000,413.15,0.000316,liquid
34470000,413.15,0.000342,liquid
41370000,413.15,0.000367,liquid
48260000,413.15,0.000396,liquid
55160000,413.15,0.000415,liquid
62050000,413.15,0.000438,liquid
2930000,303.1,0.000852,liquid
