p,T,viscosity,Phase
30010000,303.03,0.001093,liquid
32500000,303.03,0.00112,liquid
35000000,303.03,0.001147,liquid
37500000,303.03,0.001175,liquid
40000000,303.03,0.001203,liquid
45010000,303.03,0.00126,liquid
50010000,303.03,0.001318,liquid
2000000,312.99,0.00071,liquid
3010000,312.99,0.000718,liquid
5010000,312.99,0.000735,liquid
7510000,312.99,0.000756,liquid
10010000,312.99,0.000778,liquid
12510000,312.99,0.000799,liquid
15000000,312.99,0.000821,liquid
17500000,312.99,0.000843,liquid
20000000,312.99,0.000867,liquid
22500000,312.99,0.000888,liquid
25010000,312.99,0.000911,liquid
27520000,312.99,0.000934,liquid
30020000,312.99,0.000957,liquid
32500000,312.99,0.00098,liquid
35010000,312.99,0.001004,liquid
37500000,312.98,0.001028,liquid
40010000,312.99,0.001052,liquid
45010000,312.99,0.0011,liquid
50010000,312.99,0.00115,liquid
2000000,332.94,0.000558,liquid
3010000,332.93,0.000565,liquid
5010000,332.93,0.000579,liquid
7500000,332.93,0.000595,liquid
10010000,332.93,0.000613,liquid
12520000,332.94,0.00063,liquid
15010000,332.94,0.000647,liquid
17510000,332.94,0.000664,liquid
20000000,332.94,0.000681,liquid
22500000,332.94,0.000699,liquid
25000000,332.94,0.000717,liquid
27510000,332.94,0.000734,liquid
30000000,332.94,0.000752,liquid
32510000,332.94,0.00077,liquid
35000000,332.94,0.000788,liquid
37500000,332.94,0.000807,liquid
40010000,332.93,0.000825,liquid
45010000,332.93,0.000863,liquid
50020000,332.93,0.000901,liquid
2010000,352.88,0.000449,liquid
3000000,352.88,0.000454,liquid
5010000,352.88,0.000465,liquid
7500000,352.87,0.000479,liquid
10010000,352.88,0.000493,liquid
12510000,352.87,0.000507,liquid
15010000,352.87,0.000522,liquid
17510000,352.87,0.000536,liquid
20010000,352.87,0.00055,liquid
22510000,352.87,0.000564,liquid
25000000,352.87,0.000578,liquid
27500000,352.87,0.000592,liquid
30000000,352.87,0.000606,liquid
32510000,352.87,0.000621,liquid
35010000,352.87,0.000635,liquid
37510000,352.87,0.00065,liquid
40000000,352.87,0.000665,liquid
45020000,352.87,0.000695,liquid
50020000,352.87,0.000725,liquid
150000,303.3,0.000788,liquid
960000,303.2,0.0008,liquid
2000000,303.3,0.000808,liquid
3010000,303.2,0.000814,liquid
3970000,303.1,0.000828,liquid
140000,323.8,0.000606,liquid
1120000,323.7,0.000617,liquid
1990000,323.7,0.000628,liquid
3010000,323.7,0.000625,liquid
3960000,323.8,0.000631,liquid
140000,348.9,0.000459,liquid
1050000,348.9,0.000465,liquid
2090000,348.9,0.000469,liquid
2930000,348.9,0.000475,liquid
3950000,348.9,0.000481,liquid
130000,373.7,0.000365,liquid
960000,373.7,0.000368,liquid
2040000,373.7,0.000373,liquid
2890000,373.7,0.000376,liquid
3960000,373.7,0.000381,liquid
140000,398.2,0.000295,liquid
990000,398.2,0.000299,liquid
2030000,398.2,0.000304,liquid
2910000,398.2,0.000309,liquid
3940000,398.1,0.000312,liquid
950000,423.5,0.000247,liquid
1060000,423.5,0.000246,liquid
