p,T,viscosity,Phase
22000000,333.15,0.001033,liquid
25000000,333.15,0.001068,liquid
27990000,333.15,0.001102,liquid
30990000,333.15,0.001136,liquid
34990000,333.15,0.001182,liquid
39010000,333.15,0.001228,liquid
42990000,333.15,0.001273,liquid
47000000,333.15,0.001319,liquid
50000000,333.15,0.001353,liquid
2000000,353.15,0.000633,liquid
4000000,353.15,0.000651,liquid
5990000,353.15,0.000669,liquid
8010000,353.15,0.000687,liquid
10010000,353.15,0.000705,liquid
12990000,353.15,0.000732,liquid
16000000,353.15,0.000759,liquid
19000000,353.15,0.000786,liquid
22010000,353.15,0.000813,liquid
25010000,353.15,0.00084,liquid
27990000,353.15,0.000867,liquid
30990000,353.15,0.000894,liquid
34990000,353.15,0.00093,liquid
38990000,353.15,0.000966,liquid
43010000,353.15,0.001002,liquid
47000000,353.15,0.001038,liquid
5000000,303.2,0.0013335,liquid
5000000,313.2,0.0011221,liquid
5000000,323.0,0.00097,liquid
5000000,333.1,0.0008519,liquid
5000000,343.3,0.0007442,liquid
5000000,353.3,0.0006736,liquid
5000000,363.2,0.0006075,liquid
5000000,373.3,0.0005467,liquid
5000000,383.2,0.0004902,liquid
5000000,393.2,0.0004472,liquid
5000000,403.2,0.0004112,liquid
5000000,413.2,0.0003785,liquid
5000000,423.2,0.0003508,liquid
5000000,433.2,0.0003277,liquid
5000000,443.4,0.0002974,liquid
5000000,453.1,0.0002822,liquid
5000000,463.2,0.0002604,liquid
5000000,473.2,0.000244,liquid
5000000,483.1,0.000225,liquid
5000000,483.1,0.000225,liquid
5000000,493.2,0.0002076,liquid
5000000,503.2,0.0001964,liquid
5000000,513.1,0.0001846,liquid
5000000,523.2,0.0001722,liquid
5000000,533.1,0.0001608,liquid
5000000,543.2,0.0001489,liquid
5000000,553.2,0.0001375,liquid
5000000,563.2,0.0001297,liquid
5000000,573.2,0.0001201,liquid
5000000,583.3,0.0001126,liquid
5000000,593.2,0.0001031,liquid
5000000,603.2,9.74e-5,liquid
5000000,613.2,9.13e-5,liquid
5000000,623.1,8.39e-5,liquid
5000000,633.2,7.67e-5,liquid
5000000,643.1,6.94e-5,liquid
5000000,653.2,6.57e-5,liquid
5000000,663.2,6.05e-5,liquid
5000000,673.2,5.51e-5,liquid
5000000,673.2,5.51e-5,liquid
5000000,303.2,0.0013144,liquid
5000000,313.2,0.0011163,liquid
5000000,323.0,0.0009626,liquid
5000000,333.1,0.0008434,liquid
5000000,343.3,0.0007445,liquid
5000000,353.3,0.0006661,liquid
5000000,363.2,0.0005969,liquid
5000000,373.3,0.0005397,liquid
5000000,383.2,0.0004913,liquid
5000000,393.2,0.000448,liquid
5000000,403.2,0.0004118,liquid
5000000,413.2,0.0003799,liquid
5000000,423.2,0.0003516,liquid
5000000,433.2,0.0003259,liquid
5000000,443.4,0.0003041,liquid
5000000,453.1,0.0002827,liquid
5000000,463.2,0.0002619,liquid
5000000,473.2,0.000244,liquid
5000000,483.1,0.0002259,liquid
5000000,483.1,0.0002259,liquid
5000000,493.2,0.0002072,liquid
5000000,503.2,0.0001969,liquid
5000000,513.1,0.0001835,liquid
5000000,523.2,0.0001698,liquid
5000000,533.1,0.0001591,liquid
5000000,543.2,0.0001487,liquid
5000000,553.2,0.0001391,liquid
