p,T,viscosity,AAD,Phase
62050000,388.15,0.001396,0.051532291,liquid
6900000,413.15,0.000621,0.130181608,liquid
13790000,413.15,0.000673,0.110355539,liquid
20680000,413.15,0.000733,0.099849503,liquid
27580000,413.15,0.00079,0.083868397,liquid
34470000,413.15,0.000813,0.027583104,liquid
41370000,413.15,0.000879,0.020805236,liquid
48260000,413.15,0.000935,0.000898712,liquid
55160000,413.15,0.000972,0.040468474,liquid
62050000,413.15,0.001014,0.077139835,liquid
25100000,300.15,0.004935,0.129271443,liquid
20100000,300.15,0.004615,0.136674876,liquid
15100000,300.15,0.0043,0.142119051,liquid
10100000,300.15,0.004015,0.150667991,liquid
5100000,300.15,0.0037,0.149481751,liquid
100000,300.15,0.00344,0.157382649,liquid
40100000,317.15,0.00422,0.144009868,liquid
35100000,317.15,0.00395,0.146708643,liquid
30100000,317.15,0.00371,0.153348769,liquid
25100000,317.15,0.003505,0.165930253,liquid
20100000,317.15,0.00327,0.169128736,liquid
15100000,317.15,0.00306,0.176100092,liquid
10100000,317.15,0.00287,0.186257214,liquid
5100000,317.15,0.002655,0.186680206,liquid
100000,317.15,0.00247,0.193357603,liquid
40100000,335.15,0.00291,0.131268352,liquid
35100000,335.15,0.002745,0.138789388,liquid
30100000,335.15,0.002585,0.145921048,liquid
25100000,335.15,0.002435,0.154427343,liquid
20100000,335.15,0.002275,0.157271438,liquid
15100000,335.15,0.00213,0.163297466,liquid
10100000,335.15,0.00198,0.164872345,liquid
5100000,335.15,0.001855,0.174652287,liquid
100000,335.15,0.001725,0.180135372,liquid
40100000,354.15,0.00206,0.112936723,liquid
35100000,354.15,0.001945,0.119802224,liquid
30100000,354.15,0.00183,0.124780951,liquid
25100000,354.15,0.00174,0.140156634,liquid
20100000,354.15,0.00163,0.144050514,liquid
15100000,354.15,0.00152,0.145626136,liquid
10100000,354.15,0.00143,0.156455683,liquid
5100000,354.15,0.001305,0.143411767,liquid
100000,354.15,0.001215,0.14965096,liquid
40100000,373.15,0.001615,0.146258935,liquid
35100000,373.15,0.001505,0.140449227,liquid
30100000,373.15,0.001425,0.149559642,liquid
25100000,373.15,0.001335,0.151008865,liquid
20100000,373.15,0.001245,0.150158599,liquid
15100000,373.15,0.001175,0.161125709,liquid
10100000,373.15,0.001105,0.170925298,liquid
5100000,373.15,0.001035,0.179468704,liquid
100000,373.15,0.000955,0.178131443,liquid
40100000,392.15,0.001225,0.120677365,liquid
35100000,392.15,0.001155,0.124005579,liquid
30100000,392.15,0.001105,0.141365842,liquid
25100000,392.15,0.001035,0.141918875,liquid
20100000,392.15,0.000955,0.131273073,liquid
15100000,392.15,0.000915,0.154928954,liquid
10100000,392.15,0.000855,0.159280085,liquid
5100000,392.15,0.000815,0.182530015,liquid
100000,392.15,0.000735,0.162756457,liquid
3300000,303.9,0.002826,0.009644456,liquid
7300000,303.9,0.002959,0.008910174,liquid
