p,T,Viscosity,Phase
378000000,298.03,0.0031121,liquid
100000,298.0,0.0004191,liquid
100000,298.0,0.0004196,liquid
3000000,298.0,0.0004308,liquid
5300000,298.0,0.0004404,liquid
8100000,298.0,0.0004526,liquid
10900000,298.0,0.0004644,liquid
26000000,298.0,0.0005288,liquid
50800000,298.0,0.000639,liquid
75800000,298.0,0.0007572,liquid
100800000,298.0,0.0008842,liquid
125800000,298.0,0.0010207,liquid
150700000,298.0,0.0011669,liquid
175700000,298.0,0.0013241,liquid
200700000,298.0,0.0014951,liquid
225700000,298.0,0.0016784,liquid
250700000,298.0,0.0018743,liquid
275700000,298.0,0.0020854,liquid
300600000,298.0,0.0023106,liquid
324900000,298.0,0.0025415,liquid
349600000,298.0,0.0027929,liquid
375700000,298.0,0.0030845,liquid
100000,257.86,0.0006878,liquid
100000,257.87,0.0006871,liquid
100000,258.01,0.0006851,liquid
101000,219.097,0.001246,liquid
2260000,219.072,0.00127,liquid
4260000,219.204,0.00129,liquid
6360000,219.23,0.001309,liquid
8340000,219.267,0.001332,liquid
10360000,219.252,0.001355,liquid
12360000,219.211,0.001376,liquid
14330000,219.236,0.001403,liquid
16260000,219.255,0.00142,liquid
17620000,219.286,0.001438,liquid
101000,233.304,0.0009866,liquid
2130000,233.304,0.001002,liquid
4260000,233.298,0.00102,liquid
6160000,233.304,0.001038,liquid
8250000,233.304,0.001058,liquid
10240000,233.311,0.001073,liquid
12360000,233.304,0.001091,liquid
14200000,233.304,0.00111,liquid
16120000,233.311,0.001125,liquid
18190000,233.323,0.001142,liquid
20540000,233.33,0.001165,liquid
101000,253.305,0.0007346,liquid
2150000,253.305,0.0007459,liquid
4110000,253.305,0.0007614,liquid
6240000,253.305,0.000775,liquid
8190000,253.305,0.0007866,liquid
10500000,253.305,0.0008013,liquid
12330000,253.305,0.0008101,liquid
14070000,253.305,0.0008267,liquid
16350000,253.305,0.0008382,liquid
18280000,253.305,0.0008531,liquid
20160000,253.324,0.0008686,liquid
21770000,253.324,0.0008777,liquid
101000,273.075,0.0005598,liquid
2100000,273.075,0.0005701,liquid
3930000,273.068,0.0005817,liquid
5510000,273.042,0.0005886,liquid
12190000,273.049,0.0006261,liquid
14250000,273.049,0.0006364,liquid
16170000,273.055,0.0006462,liquid
18260000,273.055,0.0006564,liquid
20150000,273.068,0.0006677,liquid
21890000,273.087,0.0006747,liquid
101000,293.297,0.0004369,liquid
2150000,293.297,0.000446,liquid
4070000,293.294,0.0004531,liquid
6130000,293.29,0.0004615,liquid
8110000,293.281,0.0004694,liquid
10150000,293.268,0.0004772,liquid
12150000,293.268,0.0004872,liquid
14090000,293.265,0.0004949,liquid
16170000,293.255,0.0005032,liquid
17980000,293.248,0.0005122,liquid
20050000,293.271,0.0005216,liquid
22620000,293.31,0.0005321,liquid
101000,308.675,0.0003727,liquid
1920000,308.684,0.0003782,liquid
4150000,308.684,0.0003859,liquid
6170000,308.684,0.0003939,liquid
8180000,308.665,0.0004013,liquid
10200000,306.658,0.0004087,liquid
12180000,308.62,0.0004158,liquid
14180000,308.623,0.0004227,liquid
16140000,308.629,0.0004296,liquid
18080000,308.62,0.0004371,liquid
20410000,306.616,0.0004447,liquid
21720000,308.626,0.0004493,liquid
100000,273.15,0.0005628,liquid
10000000,273.15,0.0006148,liquid
30000000,273.15,0.0007203,liquid
40000000,273.15,0.0007767,liquid
100000,293.15,0.0004413,liquid
10000000,293.15,0.0004827,liquid
30000000,293.15,0.0005708,liquid
40000000,293.15,0.0006167,liquid
100000,298.15,0.0004167,liquid
10000000,298.15,0.0004583,liquid
30000000,298.15,0.0005409,liquid
40000000,298.15,0.0005846,liquid
10000000,313.15,0.000392,liquid
30000000,313.15,0.0004646,liquid
45000000,313.15,0.0005222,liquid
10000000,333.15,0.0003247,liquid
30000000,333.15,0.0003882,liquid
45000000,333.15,0.0004364,liquid
15000000,353.15,0.0002868,liquid
30000000,353.15,0.0003291,liquid
45000000,353.15,0.0003727,liquid
