p,T,viscosity,Phase
2010000,310.79,0.000269,liquid
3010000,310.79,0.000272,liquid
5010000,310.79,0.000278,liquid
7510000,310.79,0.000286,liquid
10010000,310.79,0.000293,liquid
12510000,310.79,0.0003,liquid
15000000,310.79,0.000308,liquid
17500000,310.79,0.000315,liquid
19990000,310.79,0.000322,liquid
22490000,310.79,0.00033,liquid
24990000,310.79,0.000337,liquid
27490000,310.79,0.000344,liquid
29990000,310.79,0.000351,liquid
32490000,310.79,0.000358,liquid
34990000,310.79,0.000366,liquid
37490000,310.79,0.000372,liquid
39990000,310.79,0.00038,liquid
44990000,310.79,0.000394,liquid
49980000,310.79,0.000408,liquid
2010000,330.37,0.000227,liquid
3010000,330.37,0.00023,liquid
5010000,330.37,0.000235,liquid
7520000,330.37,0.000242,liquid
10020000,330.37,0.000249,liquid
12520000,330.38,0.000255,liquid
15010000,330.37,0.000262,liquid
17510000,330.37,0.000268,liquid
20010000,330.37,0.000275,liquid
22510000,330.37,0.000281,liquid
25010000,330.37,0.000288,liquid
27510000,330.37,0.000293,liquid
30010000,330.38,0.000301,liquid
32500000,330.37,0.000307,liquid
35010000,330.37,0.000314,liquid
37510000,330.37,0.00032,liquid
40010000,330.38,0.000326,liquid
45010000,330.37,0.000338,liquid
50010000,330.37,0.000351,liquid
2010000,349.96,0.000193,liquid
3010000,349.95,0.000195,liquid
5020000,349.95,0.0002,liquid
7520000,349.96,0.000207,liquid
10010000,349.96,0.000212,liquid
12510000,349.96,0.000218,liquid
15020000,349.95,0.000225,liquid
17520000,349.95,0.00023,liquid
20010000,349.96,0.000236,liquid
22510000,349.96,0.000243,liquid
25020000,349.96,0.000248,liquid
27520000,349.96,0.000254,liquid
30010000,349.96,0.00026,liquid
32520000,349.95,0.000265,liquid
35020000,349.95,0.000271,liquid
37520000,349.96,0.000277,liquid
40020000,349.96,0.000283,liquid
45030000,349.95,0.000293,liquid
50020000,349.96,0.000304,liquid
100000,178.15,0.002209,liquid
100000,183.15,0.001891,liquid
100000,198.15,0.001265,liquid
100000,213.15,0.0009249,liquid
100000,228.15,0.0007078,liquid
100000,228.15,0.0007067,liquid
100000,243.15,0.0005657,liquid
100000,258.15,0.0004644,liquid
100000,273.15,0.0003865,liquid
100000,293.15,0.000311,liquid
100000,298.15,0.000298,liquid
100000,313.15,0.0002517,liquid
100000,323.15,0.0002337,liquid
9900000,183.15,0.002126,liquid
9900000,198.15,0.001409,liquid
9900000,213.15,0.001012,liquid
9900000,243.15,0.0006206,liquid
9900000,258.15,0.0005123,liquid
14800000,228.15,0.0008153,liquid
14800000,273.15,0.0004455,liquid
14800000,298.15,0.0003439,liquid
14800000,323.15,0.0002753,liquid
19700000,183.15,0.002369,liquid
19700000,198.15,0.001556,liquid
19700000,213.15,0.001121,liquid
19700000,243.15,0.0006813,liquid
19700000,258.15,0.0005567,liquid
29500000,198.15,0.001714,liquid
29500000,213.15,0.001233,liquid
29500000,228.15,0.0009366,liquid
29500000,243.15,0.0007379,liquid
29500000,258.15,0.0006039,liquid
29500000,273.15,0.0005056,liquid
29500000,298.15,0.0003942,liquid
29500000,323.15,0.000316,liquid
39300000,198.15,0.001888,liquid
39300000,213.15,0.001342,liquid
39300000,243.15,0.0008066,liquid
39300000,258.15,0.0006521,liquid
44200000,228.15,0.001055,liquid
44200000,273.15,0.0005711,liquid
44200000,298.15,0.0004389,liquid
44200000,323.15,0.0003567,liquid
49100000,198.15,0.002077,liquid
49100000,213.15,0.001456,liquid
49100000,243.15,0.000869,liquid
49100000,258.15,0.0007035,liquid
58900000,213.15,0.001597,liquid
58900000,213.15,0.001592,liquid
58900000,228.15,0.001202,liquid
58900000,243.15,0.0009352,liquid
58900000,258.15,0.0007574,liquid
58900000,273.15,0.0006326,liquid
58900000,298.15,0.0004956,liquid
