p,T,viscosity,Phase
5001000,540.15,5.76e-5,liquid
9905000,290.65,0.0004611,liquid
9905000,323.15,0.000339,liquid
9905000,361.15,0.0002452,liquid
9905000,385.15,0.0002036,liquid
9905000,425.95,0.0001522,liquid
9905000,452.15,0.0001276,liquid
9905000,487.65,0.0001012,liquid
9905000,507.15,9.02e-5,liquid
9905000,540.15,7.16e-5,liquid
14808000,290.65,0.000485,liquid
14808000,323.15,0.000358,liquid
14808000,361.15,0.0002583,liquid
14808000,385.15,0.0002162,liquid
14808000,425.95,0.000164,liquid
14808000,452.15,0.000139,liquid
14808000,487.65,0.0001127,liquid
14808000,507.15,0.0001012,liquid
14808000,540.15,8.36e-5,liquid
19710000,290.65,0.0005085,liquid
19710000,323.15,0.000378,liquid
19710000,361.15,0.000274,liquid
19710000,385.15,0.0002297,liquid
19710000,425.95,0.0001755,liquid
19710000,452.15,0.0001495,liquid
19710000,487.65,0.0001236,liquid
19710000,507.15,0.0001116,liquid
19710000,540.15,9.35e-5,liquid
29518000,290.65,0.000557,liquid
29518000,323.15,0.000416,liquid
29518000,361.15,0.000302,liquid
29518000,385.15,0.000255,liquid
29518000,425.95,0.0001975,liquid
29518000,452.15,0.00017,liquid
29518000,487.65,0.0001412,liquid
29518000,507.15,0.0001291,liquid
29518000,540.15,0.0001105,liquid
39324000,290.65,0.000605,liquid
39324000,323.15,0.0004545,liquid
39324000,361.15,0.0003326,liquid
39324000,385.15,0.0002811,liquid
39324000,425.95,0.0002198,liquid
39324000,452.15,0.0001917,liquid
39324000,487.65,0.0001606,liquid
39324000,507.15,0.000148,liquid
39324000,540.15,0.0001282,liquid
49131000,290.65,0.0006525,liquid
49131000,323.15,0.0004942,liquid
49131000,361.15,0.0003605,liquid
49131000,385.15,0.0003068,liquid
49131000,425.95,0.0002417,liquid
49131000,452.15,0.0002132,liquid
49131000,487.65,0.0001802,liquid
49131000,507.15,0.0001665,liquid
49131000,540.15,0.0001451,liquid
40100000,293.15,0.000552,liquid
35100000,293.15,0.000532,liquid
30100000,293.15,0.000506,liquid
25100000,293.15,0.000487,liquid
20100000,293.15,0.000467,liquid
15100000,293.15,0.000447,liquid
10100000,293.15,0.000426,liquid
5100000,293.15,0.000404,liquid
100000,293.15,0.000385,liquid
40100000,317.15,0.000432,liquid
35100000,317.15,0.000423,liquid
30100000,317.15,0.000409,liquid
25100000,317.15,0.000393,liquid
20100000,317.15,0.000376,liquid
15100000,317.15,0.000362,liquid
10100000,317.15,0.000343,liquid
5100000,317.15,0.000331,liquid
100000,317.15,0.000318,liquid
40100000,335.15,0.000355,liquid
35100000,335.15,0.000344,liquid
30100000,335.15,0.000337,liquid
25100000,335.15,0.000329,liquid
20100000,335.15,0.000319,liquid
15100000,335.15,0.000299,liquid
10100000,335.15,0.000285,liquid
5100000,335.15,0.000277,liquid
100000,335.15,0.000256,liquid
40100000,354.15,0.000305,liquid
35100000,354.15,0.000297,liquid
30100000,354.15,0.000288,liquid
25100000,354.15,0.000278,liquid
20100000,354.15,0.000268,liquid
15100000,354.15,0.000254,liquid
10100000,354.15,0.000245,liquid
5100000,354.15,0.000235,liquid
100000,354.15,0.000221,liquid
40100000,373.15,0.000276,liquid
35100000,373.15,0.000269,liquid
30100000,373.15,0.000261,liquid
25100000,373.15,0.000255,liquid
20100000,373.15,0.000243,liquid
15100000,373.15,0.000238,liquid
10100000,373.15,0.000226,liquid
5100000,373.15,0.000216,liquid
40100000,392.15,0.000244,liquid
35100000,392.15,0.000238,liquid
30100000,392.15,0.000232,liquid
25100000,392.15,0.000227,liquid
20100000,392.15,0.000218,liquid
15100000,392.15,0.000211,liquid
10100000,392.15,0.000198,liquid
5100000,392.15,0.000187,liquid
