p,T,viscosity,Phase
1.72E+07,410.93,0.0001221,liquid
2.07E+07,410.93,0.000129,liquid
2.41E+07,410.93,0.000136,liquid
2.76E+07,410.93,0.0001418,liquid
3.10E+07,410.93,0.000148,liquid
3.45E+07,410.93,0.000153,liquid
4.14E+07,410.93,0.000162,liquid
4.83E+07,410.93,0.0001722,liquid
5.52E+07,410.93,0.0001825,liquid
2.07E+06,427.59,7.45E-05,liquid
2.76E+06,427.59,7.70E-05,liquid
3.45E+06,427.59,7.88E-05,liquid
4.14E+06,427.59,8.05E-05,liquid
5.52E+06,427.59,8.45E-05,liquid
6.89E+06,427.59,8.83E-05,liquid
8.62E+06,427.59,9.25E-05,liquid
1.03E+07,427.59,9.65E-05,liquid
1.21E+07,427.59,0.0001005,liquid
1.38E+07,427.59,0.000104,liquid
1.72E+07,427.59,0.000111,liquid
2.07E+07,427.59,0.000117,liquid
2.41E+07,427.59,0.0001232,liquid
2.76E+07,427.59,0.0001285,liquid
3.10E+07,427.59,0.0001345,liquid
3.45E+07,427.59,0.0001397,liquid
4.14E+07,427.59,0.00015,liquid
4.83E+07,427.59,0.00016,liquid
5.52E+07,427.59,0.00017,liquid
2.76E+06,444.26,6.25E-05,liquid
3.45E+06,444.26,6.60E-05,liquid
4.14E+06,444.26,6.83E-05,liquid
5.52E+06,444.26,7.30E-05,liquid
6.89E+06,444.26,7.75E-05,liquid
8.62E+06,444.26,8.22E-05,liquid
1.03E+07,444.26,8.66E-05,liquid
1.21E+07,444.26,9.06E-05,liquid
1.38E+07,444.26,9.42E-05,liquid
1.72E+07,444.26,0.000101,liquid
2.07E+07,444.26,0.000107,liquid
2.41E+07,444.26,0.0001128,liquid
2.76E+07,444.26,0.0001181,liquid
3.10E+07,444.26,0.0001234,liquid
3.45E+07,444.26,0.0001287,liquid
4.14E+07,444.26,0.0001395,liquid
4.83E+07,444.26,0.000149,liquid
5.52E+07,444.26,0.0001538,liquid
3.45E+06,460.93,4.80E-05,liquid
4.14E+06,460.93,5.30E-05,liquid
5.52E+06,460.93,6.05E-05,liquid
6.89E+06,460.93,6.60E-05,liquid
8.62E+06,460.93,7.23E-05,liquid
1.03E+07,460.93,7.70E-05,liquid
1.21E+07,460.93,8.15E-05,liquid
1.38E+07,460.93,8.53E-05,liquid
1.72E+07,460.93,9.20E-05,liquid
2.07E+07,460.93,9.80E-05,liquid
2.41E+07,460.93,0.0001032,liquid
2.76E+07,460.93,0.0001085,liquid
3.10E+07,460.93,0.000114,liquid
3.45E+07,460.93,0.000119,liquid
4.14E+07,460.93,0.000129,liquid
4.83E+07,460.93,0.0001388,liquid
5.52E+07,460.93,0.0001475,liquid
98066.5,298.15,0.0002162,liquid
490332.5,298.15,0.0002172,liquid
980665,298.15,0.0002185,liquid
1.47E+06,298.15,0.0002195,liquid
1.96E+06,298.15,0.0002209,liquid
2.45E+06,298.15,0.0002225,liquid
2.94E+06,298.15,0.0002232,liquid
3.25E+06,298.15,0.000224,liquid
3.43E+06,298.15,0.0002245,liquid
3.92E+06,298.15,0.0002259,liquid
4.90E+06,298.15,0.0002282,liquid
5.88E+06,298.15,0.0002309,liquid
6.86E+06,298.15,0.0002333,liquid
7.85E+06,298.15,0.0002359,liquid
9.81E+06,298.15,0.0002408,liquid
1.47E+07,298.15,0.0002532,liquid
1.96E+07,298.15,0.0002656,liquid
2.45E+07,298.15,0.0002786,liquid
2.94E+07,298.15,0.0002915,liquid
3.92E+07,298.15,0.0003168,liquid
4.90E+07,298.15,0.0003431,liquid
2.94E+06,458.15,4.83E-05,liquid
3.25E+06,458.15,5.09E-05,liquid
3.43E+06,458.15,5.21E-05,liquid
3.92E+06,458.15,5.51E-05,liquid
4.90E+06,458.15,5.96E-05,liquid
5.88E+06,458.15,6.33E-05,liquid
6.86E+06,458.15,6.63E-05,liquid
7.85E+06,458.15,6.92E-05,liquid
9.81E+06,458.15,7.43E-05,liquid
1.47E+07,458.15,8.49E-05,liquid
1.96E+07,458.15,9.42E-05,liquid
2.45E+07,458.15,0.0001027,liquid
2.94E+07,458.15,0.0001101,liquid
3.92E+07,458.15,0.0001245,liquid
4.90E+07,458.15,0.0001386,liquid
3.25E+06,465.15,4.30E-05,liquid
3.43E+06,465.15,4.53E-05,liquid
3.92E+06,465.15,4.95E-05,liquid
4.90E+06,465.15,5.48E-05,liquid
5.88E+06,465.15,5.91E-05,liquid
6.86E+06,465.15,6.26E-05,liquid
7.85E+06,465.15,6.57E-05,liquid
9.81E+06,465.15,7.12E-05,liquid
1.47E+07,465.15,8.12E-05,liquid
1.96E+07,465.15,9.12E-05,liquid
2.45E+07,465.15,9.95E-05,liquid
2.94E+07,465.15,0.000107,liquid
3.92E+07,465.15,0.0001211,liquid
4.90E+07,465.15,0.0001353,liquid
490332,323.15,0.0001772,liquid
980665,323.15,0.0001782,liquid
1.47E+06,323.15,0.0001795,liquid
1.96E+06,323.15,0.0001807,liquid
2.45E+06,323.15,0.0001817,liquid
2.94E+06,323.15,0.0001826,liquid
3.25E+06,323.15,0.0001832,liquid
3.43E+06,323.15,0.0001836,liquid
3.92E+06,323.15,0.0001848,liquid
4.90E+06,323.15,0.000187,liquid
5.88E+06,323.15,0.0001892,liquid
6.86E+06,323.15,0.0001913,liquid
7.85E+06,323.15,0.0001935,liquid
9.81E+06,323.15,0.0001977,liquid
1.47E+07,323.15,0.0002083,liquid
1.96E+07,323.15,0.0002191,liquid
2.45E+07,323.15,0.0002296,liquid
2.94E+07,323.15,0.00024,liquid
3.92E+07,323.15,0.0002612,liquid
4.90E+07,323.15,0.0002825,liquid
490332,348.15,0.0001429,liquid
980665,348.15,0.000144,liquid
1.47E+06,348.15,0.0001451,liquid
1.96E+06,348.15,0.0001461,liquid
2.45E+06,348.15,0.0001472,liquid
2.94E+06,348.15,0.0001482,liquid
3.25E+06,348.15,0.0001489,liquid
3.43E+06,348.15,0.0001494,liquid
3.92E+06,348.15,0.0001503,liquid
4.90E+06,348.15,0.0001523,liquid
5.88E+06,348.15,0.0001544,liquid
6.86E+06,348.15,0.0001567,liquid
7.85E+06,348.15,0.0001586,liquid
9.81E+06,348.15,0.0001629,liquid
1.47E+07,348.15,0.0001732,liquid
1.96E+07,348.15,0.0001832,liquid
2.45E+07,348.15,0.0001925,liquid
2.94E+07,348.15,0.000202,liquid
3.92E+07,348.15,0.0002213,liquid
4.90E+07,348.15,0.0002393,liquid
980665,373.15,0.0001154,liquid
1.47E+06,373.15,0.0001167,liquid
1.96E+06,373.15,0.0001179,liquid
2.45E+06,373.15,0.0001192,liquid
2.94E+06,373.15,0.0001203,liquid
3.25E+06,373.15,0.0001211,liquid
3.43E+06,373.15,0.0001216,liquid
3.92E+06,373.15,0.0001227,liquid
4.90E+06,373.15,0.0001252,liquid
5.88E+06,373.15,0.0001273,liquid
6.86E+06,373.15,0.0001296,liquid
7.85E+06,373.15,0.0001316,liquid
9.81E+06,373.15,0.0001356,liquid
1.47E+07,373.15,0.000145,liquid
1.96E+07,373.15,0.0001547,liquid
2.45E+07,373.15,0.000164,liquid
2.94E+07,373.15,0.0001723,liquid
3.92E+07,373.15,0.0001892,liquid
